rank,title,description,tags
11,The Truth About Pre-Workout (Before You Buy),"That tingle isn't power - it's a skin reaction. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Ingredient-by-ingredient verdicts on pre-workout: what caffeine is worth, what the tingles actually are, which ingredients are underdosed window dressing, and the cheap alternative that covers 90% of the benefit. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The tingle lie / 1:40 Ingredient verdicts / 3:40 The 90% alternative /  / #fitness #workout #animated","is pre workout worth it, pre workout, pre workout side effects, caffeine workout, pre workout worth it, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
12,"Stop Chasing 10,000 Steps (Do This Instead)","Step quality beats step count - here's the upgrade. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Why raw step counts mislead, what zone-2 walking pace does that shuffling doesn't, how to distribute steps across the day for blood sugar control, and the walking upgrade that fits inside your existing schedule. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The count trap / 1:40 Quality over quantity / 3:40 The upgrade /  / #fitness #steps #animated","how many steps a day, steps per day, zone 2 cardio, walking workout, step count myth, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
13,The Steroid Talk Every Beginner Deserves,"Half your fitness heroes are lying to you. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / An honest education video (not a how-to): how common enhancement really is, why fake natties distort your expectations, what natural progress actually looks like year by year, and how to set goals your body can keep. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The open secret / 1:40 What natural looks like / 3:40 Setting real goals /  / #fitness #explained #animated","fake natty explained, fake natty, steroids in fitness, natural bodybuilding, realistic gains, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
14,How Long Building Muscle REALLY Takes,"Your honest month-by-month muscle timeline - no transformation-industry lies. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / What you can gain in month one, month six, year one and year three, why the scale lies early on, the newbie-gains window, and the checkpoints that tell you your program is working before the mirror does. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Month 1-3 / 1:40 Year one honest math / 3:40 The long game /  / #fitness #muscle #animated","how long to build muscle, build muscle, muscle growth timeline, noob gains, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
15,Cardio vs Weights: What Burns Fat Faster?,"One burns more per hour. The other burns more per year. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The per-session versus per-year fat loss math, how muscle changes your resting burn, what EPOC is really worth, and the hybrid weekly split that beats both extremes for body composition. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Per hour vs per year / 1:40 The muscle multiplier / 3:40 The hybrid split /  / #fitness #weights #animated","cardio vs weights fat loss, cardio vs weights, fat loss workout, burn fat, lifting for fat loss, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
16,The Anabolic Window Is (Mostly) a Myth,"You don't need protein in 30 minutes. You need this instead. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Where the post-workout panic came from, what protein timing research actually shows, the cases where timing does matter a little, and the daily habits that out-earn any shaker-bottle sprint. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The 30-minute panic / 1:40 What studies show / 3:40 What matters instead /  / #fitness #anabolic #animated","anabolic window myth, anabolic window, protein timing, post workout meal, nutrient timing, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
17,Bulking & Cutting Explained (Don't Ruin Your First Bulk),"Your first bulk decides your next two years. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Surplus math without the dirty-bulk trap, how fast to gain, when to stop, how cutting actually works after, and the body-fat guardrails that keep a bulk from becoming just... getting fat. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Surplus math / 1:40 The dirty-bulk trap / 3:40 When to stop /  / #fitness #beginners #animated","bulking for beginners, bulking, cutting, first bulk, lean bulk, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
18,Your First 90 Days in the Gym (Complete Roadmap),"If I started over today, this is the exact 90-day plan I'd run. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Week-by-week: what to train, how to learn form without embarrassment, when to add weight, what to eat without tracking everything, and the habit architecture that makes month three automatic. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Weeks 1-4 / 1:40 Weeks 5-8 / 3:40 Weeks 9-12 /  / #fitness #beginner #animated","beginner gym guide, first time gym, 90 day plan, gym for beginners, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
19,Home Workouts vs Gym: What Science Says,"Your muscles can't read the sign on the door. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / What actually drives growth (tension, effort, progression) and how to get it at home, where home setups genuinely fall short, and the minimal equipment that closes 90% of the gap. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 What muscle needs / 1:40 Where home falls short / 3:40 Closing the gap /  / #fitness #workout #animated","home workout vs gym, home workout, home gym, gym vs home, train at home, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
20,Progressive Overload: The Only Rule That Matters,"If the bar isn't moving up, nothing else counts. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The adaptation ladder explained simply, five ways to overload beyond adding weight, how to log it in 20 seconds a set, and the plateau checklist for when the bar stops moving. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The ladder / 1:40 5 ways to overload / 3:40 Plateau checklist /  / #fitness #progressive #animated","progressive overload explained, progressive overload, strength progress, training plateau, how to get stronger, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
21,Newbie Gains: Your One-Time Superpower,"You get this superpower exactly once. Most people waste it. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Why your first year can produce double the muscle of any year after, the mechanisms behind newbie gains, and how to cash the window with simple programming instead of wasting it on confusion. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The one-time window / 1:40 Why it works / 3:40 Cash it properly /  / #fitness #newbie #animated","newbie gains, first year gym, beginner muscle growth, noob gains explained, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
22,Fasted Cardio: Fat-Burning Hack or Myth?,"Burning fat during a workout isn't the same as losing fat. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The substrate-use trap explained with simple animation, what 24-hour energy balance says about fasted sessions, who might still like training fasted, and what actually decides fat loss. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The trap / 1:40 24-hour math / 3:40 Who it suits /  / #fitness #fasted #animated","fasted cardio, fat burning zone, cardio on empty stomach, fat loss myths, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
23,How Many Sets Do You Actually Need?,"More sets stopped working for you around number twelve. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Volume landmarks made visual: minimum effective volume, the sweet spot per muscle per week, junk volume, and how to count sets honestly so your program stops lying to you. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The sweet spot / 1:40 Junk volume / 3:40 Count honestly /  / #fitness #many #animated","how many sets per week, training volume, sets per week, how many sets, hypertrophy volume, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
24,What Happens When You Stop Lifting,"Week by week - what detraining really takes from you (and what it doesn't). /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The honest detraining timeline: what fades in two weeks, what holds for months, why size returns faster than you fear, and the minimum dose that preserves nearly everything during busy seasons. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Weeks 1-2 / 1:40 Months 1-3 / 3:40 The minimum dose /  / #fitness #lifting #animated","muscle loss stop lifting, detraining, stop lifting, muscle loss, maintain muscle, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
25,Muscle Memory Is Real: The Comeback Science,"Your muscles keep receipts. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Myonuclei and why trained muscle rebuilds faster, what the comeback timeline looks like after months or years off, and how to restart without injuring the ego or the joints. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The receipts / 1:40 Comeback timeline / 3:40 Restart protocol /  / #fitness #muscle #animated","muscle memory, comeback gym, regain muscle, myonuclei, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
26,Gym Anxiety: The Beginner's Cheat Code,"Everyone is too busy watching themselves to watch you. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The psychology of gym anxiety, the off-peak and layout tricks that make week one painless, scripts for common awkward moments, and how confidence actually compounds after ten visits. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Nobody's watching / 1:40 The cheat codes / 3:40 Visit ten /  / #fitness #anxiety #animated","gym anxiety, gym confidence, first gym visit, gym for beginners, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
27,The Cheapest High-Protein Foods (Budget Gains),"A dollar can buy 30 grams of protein - if you know where to look. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The dollars-per-30g protein league table: eggs, dairy, legumes, canned fish and the freezer aisle - plus three lazy high-protein meals that cost less than a supplement scoop. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The league table / 1:40 Top 5 picks / 3:40 3 lazy meals /  / #fitness #protein #animated","cheap protein foods, cheap protein, high protein foods, budget meal prep, protein on a budget, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
28,Alcohol & Gains: The Honest Math,"Nobody's telling you to quit. Here's what a night out actually costs. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / What alcohol does to muscle protein synthesis, sleep and recovery, how much a weekend really sets you back, and the damage-control playbook for drinking without deleting your progress. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The real cost / 1:40 MPS and sleep / 3:40 Damage control /  / #fitness #alcohol #animated","alcohol muscle growth, alcohol and gains, alcohol muscle, drinking and fitness, alcohol recovery, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
29,How Much Water You Actually Need,"The 8-glasses rule was never science. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Where the eight-glasses myth came from, how thirst and urine color actually regulate you, when athletes genuinely need more, and the electrolyte piece everyone ignores. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The made-up rule / 1:40 Your real signal / 3:40 Electrolytes /  / #fitness #water #animated","how much water per day, water intake, how much water, hydration, 8 glasses myth, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
30,Desk Body Rescue: Fix Your Posture,"Your chair is programming your spine. Here's the undo button. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / The desk-posture chain reaction explained visually, five exercises that reverse it in ten minutes a day, and the workstation tweaks that stop re-breaking what you just fixed. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The chain reaction / 1:40 The 10-minute undo / 3:40 Desk tweaks /  / #fitness #exercises #animated","fix posture exercises, posture, fix posture, desk posture, posture exercises, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
31,Stop Static Stretching Before Lifting,"That pre-lift stretch routine might be costing you strength. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / What static stretching does to force output, what dynamic warm-ups do instead, the two-minute warm-up template, and where static stretching still belongs in your week. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The strength leak / 1:40 Dynamic instead / 3:40 Where static fits /  / #fitness #stretching #animated","stretching before workout, stretching, warm up, static stretching, dynamic warm up, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
32,Why Motivation Fails (Build Systems Instead),"Motivation is a battery. Systems are a power grid. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Why willpower predictably runs out, the habit loops that make training automatic, environment design for lifters, and the two-day rule that has saved more physiques than any pre-workout. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 The battery problem / 1:40 Habit loops / 3:40 The two-day rule /  / #fitness #motivation #animated","gym motivation, fitness habits, consistency, discipline, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
33,Your First Pull-Up: The 4-Phase Plan,"From zero to chin-over-bar in four phases. /  / My #1 tool for training consistency (the smart home gym I use): {{AFFILIATE_LINK}} / Some links are affiliate links - I may earn a commission at no extra cost to you. /  / Dead hangs, negatives, band work and rep one - exactly how long each phase takes, the strength standards to move on, and the plateau fixes for the last stubborn inch. /  / Rep is the honest animated coach: science-based fitness with zero bro-science, built for beginners and busy lifters who want the truth about training. /  / Chapters (planned - update after final edit): / 0:00 Phase 1-2 / 1:40 Phase 3 / 3:40 Rep one /  / #fitness #progression #animated","first pull up progression, pull up, first pull up, pull up progression, calisthenics beginner, honestreps, fitness explained, animated fitness, science based fitness, gym advice, fitness for beginners, no bs fitness"
